KPD 2025.,,
Šifra,Naziv,
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",
09.1,Pomoćne usluge za vađenje nafte i prirodnog plina,,,,,
09.10,Pomoćne usluge za vađenje nafte i prirodnog plina,,,,,
09.10.0,Pomoćne usluge za vađenje nafte i prirodnog plina,,,,,
09.10.01,Usluge bušenja za vađenje nafte i prirodnog plina,,,,,
09.10.02,"Usluge montaže, popravka i demontaže postrojenja za bušenje te povezane pomoćne usluge za vađenje nafte i prirodnog plina",,,,,
09.10.03,Usluge ukapljivanja i uplinjavanja prirodnog plina za potrebe transporta izvršene na oknu,,,,,
09.9,Pomoćne usluge za ostalo rudarstvo i vađenje,,,,,
09.90,Pomoćne usluge za ostalo rudarstvo i vađenje,,,,,
09.90.0,Pomoćne usluge za ostalo rudarstvo i vađenje,,,,,
09.90.01,Pomoćne usluge za vađenje kamenog ugljena,,,,,
09.90.02,Pomoćne usluge za vađenje metalnih ruda,,,,,
09.90.09,"Pomoćne usluge za ostalo rudarstvo i vađenje, d. n.",,,,,
C,PROIZVODI PRERAÐIVAČKE INDUSTRIJE,,,,,
10,Prehrambeni proizvodi,,,,,
10.1,Konzervirano meso i mesni proizvodi,,,,,
10.11,"Prerađeno i konzervirano meso, osim mesa peradi",,,,,
10.11.1,"Meso goveda, svinja, ovaca, koza, konja i drugih kopitara, svježe ili hlađeno",,,,,
10.11.11,"Goveđe meso, svježe ili hlađeno",,,,,
10.11.12,"Svinjsko meso, svježe ili hlađeno",,,,,
10.11.13,"Ovčje meso, svježe ili hlađeno",,,,,
10.11.14,"Kozje meso, svježe ili hlađeno",,,,,
10.11.15,"Konjsko meso i meso drugih kopitara, svježe ili hlađeno",,,,,
10.11.2,"Jestivi otpaci i ostaci od goveda, svinja, ovaca, koza, konja i drugih kopitara, svježi ili hlađeni",,,,,
10.11.20,"Jestivi otpaci i ostaci od goveda, svinja, ovaca, koza, konja i drugih kopitara, svježi ili hlađeni",,,,,
10.11.3,Zamrznuto meso i jestivi otpaci i ostaci; ostalo meso i jestivi otpaci i ostaci,,,,,
10.11.31,"Goveđe meso, zamrznuto",,,,,
10.11.32,"Svinjsko meso, zamrznuto",,,,,
